,id,conversation_id,created_at,date,timezone,place,tweet,language,hashtags,cashtags,user_id,user_id_str,username,name,day,hour,link,urls,photos,video,thumbnail,retweet,nlikes,nreplies,nretweets,quote_url,search,near,geo,source,user_rt_id,user_rt,retweet_id,reply_to,retweet_date,translate,trans_src,trans_dest
0,1512780452356104200,1512780452356104200,1649509940000.0,2022-04-09 21:12:20,+0800,,🚗Volkswagen's plan to focus on more profitable vehicles and the electric push risks pricing the middle classes out of motoring  https://t.co/yyQPGwRK5b,en,[],[],16343974,16343974,Telegraph,The Telegraph,6,21,https://twitter.com/Telegraph/status/1512780452356104200,['https://www.telegraph.co.uk/business/2022/04/08/affordable-family-car-endangered-species/?utm_content=telegraph&utm_medium=Social&utm_campaign=Echobox&utm_source=Twitter#Echobox=1649508526-1'],[],0,,False,5,2,10,,volkswagen OR Volkswagen,,"51.509865,-0.118092,200km",,,,,[],,,,
1,1512546146685751309,1512166023012790279,1649454077000.0,2022-04-09 05:41:17,+0800,,@wyldcdn Volkswagen disagrees with you too:  https://t.co/ygNqEgNI31,en,[],[],18633429,18633429,Cyberwest,Dr James Morris,6,05,https://twitter.com/Cyberwest/status/1512546146685751309,['https://www.volkswagenag.com/en/news/stories/2020/03/battery-or-fuel-cell--that-is-the-question.html#'],[],0,,False,0,1,0,,volkswagen OR Volkswagen,,"51.509865,-0.118092,200km",,,,,"[{'screen_name': 'wyldcdn', 'name': 'Glen 🇨🇦', 'id': '56603141'}]",,,,
2,1512542925569372160,1512542925569372160,1649453309000.0,2022-04-09 05:28:29,+0800,,Volkswagen's plan to focus on more profitable vehicles and the electric push risks pricing the middle classes out of motoring   https://t.co/HZIHuqSxXN,en,[],[],19536881,19536881,telebusiness,Telegraph Business,6,05,https://twitter.com/telebusiness/status/1512542925569372160,['https://www.telegraph.co.uk/business/2022/04/08/affordable-family-car-endangered-species/?utm_content=business&utm_medium=Social&utm_campaign=Echobox&utm_source=Twitter#Echobox=1649414263'],[],0,,False,1,0,2,,volkswagen OR Volkswagen,,"51.509865,-0.118092,200km",,,,,[],,,,
3,1512158382765002770,1512158382765002770,1649361627000.0,2022-04-08 04:00:27,+0800,,All Things #HISPZ14 - #Hispanicize is out!  https://t.co/Jz538OVf2L Stories via @HispanicPR #volkswagen #carlilongoni,en,"['hispz14', 'hispanicize', 'volkswagen', 'carlilongoni']",[],41962111,41962111,xoxoLizza,🟣Lizza Monét Morales 🌻 #LoveBugNation #Clubhouse,5,04,https://twitter.com/xoxoLizza/status/1512158382765002770,['https://paper.li/xoxoLizza/1364896708?edition_id=5e9456a0-b6ad-11ec-8a51-fa163e65ae25'],[],0,,False,0,0,0,,volkswagen OR Volkswagen,,"51.509865,-0.118092,200km",,,,,[],,,,
4,1512118169007230981,1512118169007230981,1649352039000.0,2022-04-08 01:20:39,+0800,,"Volkswagen, Porsche and Audi open to entering Formula One - spokesperson  https://t.co/aYpNi6e4N7",en,[],[],55801527,55801527,alanbaldwinf1,Alan Baldwin,5,01,https://twitter.com/alanbaldwinf1/status/1512118169007230981,['https://www.reuters.com/lifestyle/sports/volkswagen-porsche-audi-open-entering-formula-one-spokesperson-2022-04-07/'],[],0,,False,8,1,3,,volkswagen OR Volkswagen,,"51.509865,-0.118092,200km",,,,,[],,,,
5,1511996819647180802,1511994473953251328,1649323108000.0,2022-04-07 17:18:28,+0800,,@thepetedrew Hi Pete. We're sorry to hear this. Kindly reach out to our colleagues at Volkswagen Commercial Vehicles @Volkswagen_CV and they'll advise you further on this.,en,[],[],196609435,196609435,UKVolkswagen,Volkswagen UK,4,17,https://twitter.com/UKVolkswagen/status/1511996819647180802,[],[],0,,False,0,1,0,,volkswagen OR Volkswagen,,"51.509865,-0.118092,200km",,,,,"[{'screen_name': 'thepetedrew', 'name': 'pete drew', 'id': '39328624'}]",,,,
6,1511765718076952576,1511765718076952576,1649268009000.0,2022-04-07 02:00:09,+0800,,TG's electric car of the year: the Volkswagen ID Buzz. There's a real *cough* buzz around VW's EV comeback kid. Here's why it's our overall winner →  https://t.co/Ys3ePZJnVz  https://t.co/j5nw05j63u,en,[],[],52344859,52344859,BBC_TopGear,Top Gear,4,02,https://twitter.com/BBC_TopGear/status/1511765718076952576,['https://www.topgear.com/car-news/electric-awards-2022/tgs-electric-car-year-volkswagen-id-buzz'],['https://pbs.twimg.com/media/FPre50OXIAcD7SV.jpg'],1,https://pbs.twimg.com/media/FPre50OXIAcD7SV.jpg,False,49,1,5,,volkswagen OR Volkswagen,,"51.509865,-0.118092,200km",,,,,[],,,,
7,1511744070732812293,1511744070732812293,1649262847000.0,2022-04-07 00:34:07,+0800,,Volkswagen reduces model range as part of electric drive  https://t.co/0S0GgsgUw7  https://t.co/E6PCGGElqT,en,[],[],45840503,45840503,CityAM,City A.M.,4,00,https://twitter.com/CityAM/status/1511744070732812293,['http://dlvr.it/SN56hD'],['https://pbs.twimg.com/media/FPrLOJRVEAY5y86.jpg'],1,https://pbs.twimg.com/media/FPrLOJRVEAY5y86.jpg,False,1,0,1,,volkswagen OR Volkswagen,,"51.509865,-0.118092,200km",,,,,[],,,,
8,1511625659101200386,1511623912114860033,1649234616000.0,2022-04-06 16:43:36,+0800,,@Admanr Hi Adam. We're sorry to hear this. We'll suggest you speak with our colleagues at Volkswagen Commercial Vehicles @Volkswagen_CV and they'll look into this for you.,en,[],[],196609435,196609435,UKVolkswagen,Volkswagen UK,3,16,https://twitter.com/UKVolkswagen/status/1511625659101200386,[],[],0,,False,0,0,0,,volkswagen OR Volkswagen,,"51.509865,-0.118092,200km",,,,,"[{'screen_name': 'Admanr', 'name': 'Adam Parsons', 'id': '198089012'}]",,,,
9,1511332038284124162,1511332038284124162,1649164611000.0,2022-04-05 21:16:51,+0800,,Audi has reportedly upped its offer for a stake in McLaren Racing to €650m as the Volkswagen-owned brand looks for a way to get into F1 #F1 #SportsBiz  https://t.co/XlAJfLiyir,en,"['f1', 'sportsbiz']",[],28330466,28330466,SportsPro,SportsPro,2,21,https://twitter.com/SportsPro/status/1511332038284124162,['https://bit.ly/3KaTS2M'],[],0,,False,3,0,1,,volkswagen OR Volkswagen,,"51.509865,-0.118092,200km",,,,,[],,,,
10,1511321504264323078,1511321504264323078,1649162100000.0,2022-04-05 20:35:00,+0800,,"34 investors managing more than $7 trillion in assets have warned 17 of Europe's largest companies, inc #BP &amp; Volkswagen they could challenge board directors over failure to account for #ClimateRisks  https://t.co/I08pvoLzWc",en,"['bp', 'climaterisks']",[],329628561,329628561,CarbonBubble,Carbon Tracker,2,20,https://twitter.com/CarbonBubble/status/1511321504264323078,['https://www.reuters.com/business/sustainable-business/exclusive-investors-warn-european-companies-over-climate-accounting-2022-04-04/'],[],0,,False,12,0,10,,volkswagen OR Volkswagen,,"51.509865,-0.118092,200km",,,,,[],,,,
